Section,Satellite/Mode,Resolution,Polarization,Standard Archive,Standard Tasking,Unit,Notes
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pléiades NEO,30 cm.,,880,"1,270",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-4,30 cm.,,920,"1,560",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-2,42 cm.,,700,"1,100",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-1,50 cm.,,700,"1,100",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-2,50 cm.,,700,"1,100",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-3,50 cm.,,700,"1,100",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),GeoEye-1,50 cm.,,700,"1,100",บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pléiades,50 cm.,,490,830,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),EarthScanner,50 cm.,,400,800,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-1,50 cm.,,500,900,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),KOMPSAT-3,50 cm.,,400,700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SKYSAT,50 cm.,,300,560,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 1,250 ตร.กม. / สั่งถ่ายโปรดติดต่อเจ้าหน้าที่; เข้าดูผ่าน API/Explorer"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (60 ซม.-2 ม.),QuickBird,60 cm.,,700,N/A,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ: คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.; ใช้สำหรับ level Primary (PAN, MS, Pansharpened)"
